genre_kids,duration,genre_family,genre_international,genre_drama,title_len,release_year,director_freq_log,years_to_platform,has_kids_words,has_mature_words,is_long_duration,genre_comedy,description_len,genre_romantic,year_added,cast_count,genre_crime,is_movie,genre_horror,genre_action,month_added,rating
1,6.0,0,0,0,12,2021,7.850103545175582,0,1,0,0,0,119,0,2021,4,0,0,0,0,9,kids
0,1.0,0,1,0,29,2014,7.850103545175582,7,0,0,0,0,129,0,2021,1,0,0,0,0,9,kids
0,113.0,0,1,0,10,2021,0.6931471805599453,0,0,0,0,0,148,0,2021,1,0,1,0,0,9,teen
0,1.0,0,1,1,30,2015,7.850103545175582,6,0,0,0,0,129,0,2021,1,0,0,0,0,9,teen
0,1.0,0,1,0,25,2021,7.850103545175582,0,0,0,0,0,150,1,2021,1,0,0,0,0,9,adult
0,13.0,1,0,0,27,2021,0.6931471805599453,0,1,0,0,0,138,0,2021,9,0,1,0,0,9,kids
0,5.0,0,1,0,38,2021,7.850103545175582,0,0,0,0,0,145,0,2021,2,0,0,0,0,9,adult
0,182.0,0,1,1,12,2018,1.3862943611198906,3,0,0,1,0,151,0,2021,8,0,1,0,0,9,adult
0,2.0,0,0,0,41,2021,7.850103545175582,0,0,0,0,0,148,0,2021,1,0,0,0,0,9,teen
0,106.0,1,0,0,22,2021,1.0986122886681096,0,1,0,0,0,147,0,2021,2,0,1,0,0,9,kids
0,1.0,0,1,0,15,2013,7.850103545175582,8,1,0,0,0,148,0,2021,27,0,0,0,0,9,teen
0,48.0,1,0,0,29,2021,2.0794415416798357,0,0,0,0,0,152,0,2021,8,0,1,0,0,9,kids
0,145.0,0,1,1,14,2020,1.0986122886681096,1,0,0,1,0,143,0,2021,3,0,1,0,0,9,teen
0,145.0,0,1,1,23,2021,1.0986122886681096,0,0,0,1,0,143,0,2021,3,0,1,0,0,9,teen
0,93.0,1,0,0,27,2021,0.6931471805599453,0,0,0,0,0,147,0,2021,7,0,1,0,0,9,kids
0,106.0,0,0,0,4,2021,0.6931471805599453,0,0,1,0,0,151,0,2021,7,0,1,0,1,9,adult
0,6.0,0,0,1,7,2021,7.850103545175582,0,0,0,0,0,147,0,2021,13,1,0,0,0,9,teen
0,1.0,0,0,0,18,2021,7.850103545175582,0,0,0,0,0,149,0,2021,1,0,0,0,0,9,adult
0,147.0,0,0,1,20,2020,0.6931471805599453,1,1,1,1,0,150,0,2021,10,0,1,0,1,9,adult
1,1.0,0,0,0,35,2021,7.850103545175582,0,1,0,0,0,152,0,2021,10,0,0,0,0,9,kids
0,87.0,0,1,0,4,2021,1.0986122886681096,0,0,0,0,0,122,0,2021,8,0,1,0,0,9,adult
1,2.0,0,0,0,13,2019,7.850103545175582,2,0,0,0,0,131,0,2021,5,0,0,0,0,9,kids
0,96.0,0,0,0,40,2021,0.6931471805599453,0,0,1,0,0,147,0,2021,2,0,1,0,0,9,teen
1,4.0,0,0,0,11,2017,7.850103545175582,4,0,0,0,0,149,0,2021,7,0,0,0,0,9,kids
0,95.0,0,0,0,14,2019,0.6931471805599453,2,0,0,0,0,147,0,2021,8,0,1,0,0,9,adult
0,92.0,0,1,0,26,2021,0.6931471805599453,0,0,1,0,0,142,0,2021,1,0,1,0,0,9,teen
0,2.0,0,1,1,14,2021,7.850103545175582,0,0,0,0,0,144,0,2021,11,0,0,0,0,9,adult
0,91.0,0,1,1,4,2021,0.6931471805599453,0,0,0,0,0,152,1,2021,10,0,1,0,0,9,adult
0,90.0,1,0,0,9,2018,1.6094379124341003,3,0,0,0,0,147,0,2021,12,0,1,0,0,9,teen
0,3.0,0,0,0,10,2021,7.850103545175582,0,0,1,0,0,150,0,2021,1,0,0,0,0,9,adult
0,97.0,0,0,0,53,2018,0.6931471805599453,3,0,0,0,0,149,0,2021,10,0,1,0,0,9,adult
1,2.0,0,0,0,10,2021,7.850103545175582,0,0,0,0,0,151,0,2021,7,0,0,0,0,9,kids
1,1.0,0,0,0,25,2021,7.850103545175582,0,1,0,0,0,152,0,2021,13,0,0,0,0,9,kids
0,1.0,0,0,1,12,2021,7.850103545175582,0,0,0,0,0,148,0,2021,8,0,0,0,0,9,adult
1,2.0,0,0,0,23,2019,7.850103545175582,2,0,0,0,0,143,0,2021,9,0,0,0,0,9,kids
0,80.0,0,0,0,22,2021,1.0986122886681096,0,0,0,0,0,152,0,2021,1,0,1,0,0,9,adult
0,1.0,0,0,0,40,2021,0.6931471805599453,0,0,0,0,0,150,0,2021,1,0,0,0,0,9,teen
0,117.0,0,1,1,14,2020,0.6931471805599453,1,1,0,0,0,140,0,2021,14,0,1,0,0,9,adult
1,2.0,0,0,0,19,2016,7.850103545175582,5,1,0,0,0,141,0,2021,2,0,0,0,0,9,kids
0,128.0,0,0,1,16,2017,0.6931471805599453,4,0,1,1,0,146,0,2021,11,0,1,0,1,9,teen
1,5.0,0,0,0,6,2021,7.850103545175582,0,1,0,0,0,147,0,2021,7,0,0,0,0,9,kids
0,90.0,1,0,1,16,2018,0.6931471805599453,3,0,0,0,0,140,0,2021,6,0,1,0,0,9,kids
1,1.0,0,0,1,9,2021,7.850103545175582,0,0,0,0,0,152,0,2021,8,0,0,0,0,9,kids
0,5.0,0,1,0,16,2021,7.850103545175582,0,0,0,0,0,145,0,2021,13,1,0,0,0,9,adult
0,1.0,0,1,0,33,2021,0.6931471805599453,0,0,0,0,0,151,0,2021,1,0,0,0,0,9,adult
1,1.0,0,0,0,8,2021,7.850103545175582,0,1,0,0,0,153,0,2021,7,0,0,0,0,9,kids
0,119.0,0,0,1,5,2021,1.0986122886681096,0,0,0,0,0,152,0,2021,8,0,1,0,0,9,teen
0,110.0,0,0,0,22,2021,1.0986122886681096,0,0,0,0,0,153,1,2021,8,0,1,0,0,9,teen
0,119.0,0,0,1,11,2009,0.6931471805599453,12,0,0,0,0,148,1,2021,10,0,1,0,0,9,teen
0,114.0,0,0,1,6,2015,1.3862943611198906,6,0,0,0,0,146,0,2021,8,0,1,0,0,9,teen
0,94.0,0,0,0,13,2021,0.6931471805599453,0,0,0,0,0,147,0,2021,1,0,1,0,0,9,teen
0,106.0,0,1,1,7,2017,0.6931471805599453,4,1,0,0,0,146,0,2021,6,0,1,0,0,9,teen
0,99.0,0,1,1,14,2020,1.0986122886681096,1,0,0,0,0,146,1,2021,5,0,1,0,0,9,adult
1,1.0,0,0,0,20,2021,7.850103545175582,0,1,0,0,0,149,0,2021,4,0,0,0,0,9,kids
0,1.0,0,1,0,14,2019,7.850103545175582,2,0,0,0,0,139,1,2021,13,0,0,0,0,9,teen
1,1.0,0,0,0,9,2012,7.850103545175582,9,1,0,0,0,143,0,2021,1,0,0,0,0,9,kids
1,3.0,0,0,0,27,2013,7.850103545175582,8,1,0,0,0,148,0,2021,1,0,0,0,0,9,kids
